"WBGene00006703	chromatin (Hobert 2012)"
"WBGene00008386	chromatin (Hobert 2012)"
"WBGene00017046	chromatin (Hobert 2012)"
"WBGene00017075	chromatin (Hobert 2012)"
"WBGene00004033	chromatin (Hobert 2012)"
"WBGene00001943	chromatin (Hobert 2012)"
"WBGene00004204	chromatin (Hobert 2012)"
"WBGene00008527	chromatin (Hobert 2012)"
"WBGene00004117	chromatin (Hobert 2012)"
"WBGene00001923	chromatin (Hobert 2012)"
"WBGene00017195	chromatin (Hobert 2012)"
"WBGene00001916	chromatin (Hobert 2012)"
"WBGene00003462	chromatin (Hobert 2012)"
"WBGene00004034	chromatin (Hobert 2012)"
"WBGene00017317	chromatin (Hobert 2012)"
"WBGene00017352	chromatin (Hobert 2012)"
"WBGene00006626	chromatin (Hobert 2012)"
"WBGene00008682	chromatin (Hobert 2012)"
"WBGene00017423	chromatin (Hobert 2012)"
"WBGene00008747	chromatin (Hobert 2012)"
"WBGene00000274	chromatin (Hobert 2012)"
"WBGene00017482	chromatin (Hobert 2012)"
"WBGene00004684	chromatin (Hobert 2012)"
"WBGene00008902	chromatin (Hobert 2012)"
"WBGene00001906	chromatin (Hobert 2012)"
"WBGene00009025	chromatin (Hobert 2012)"
"WBGene00001937	chromatin (Hobert 2012)"
"WBGene00009052	chromatin (Hobert 2012)"
"WBGene00001178	chromatin (Hobert 2012)"
"WBGene00001854	chromatin (Hobert 2012)"
"WBGene00017715	chromatin (Hobert 2012)"
"WBGene00017729	chromatin (Hobert 2012)"
"WBGene00009089	chromatin (Hobert 2012)"
"WBGene00017742	chromatin (Hobert 2012)"
"WBGene00017749	chromatin (Hobert 2012)"
"WBGene00017757	chromatin (Hobert 2012)"
"WBGene00003847	chromatin (Hobert 2012)"
"WBGene00002005	chromatin (Hobert 2012)"
"WBGene00002637	chromatin (Hobert 2012)"
"WBGene00003598	chromatin (Hobert 2012)"
"WBGene00003424	chromatin (Hobert 2012)"
"WBGene00003437	chromatin (Hobert 2012)"
"WBGene00009180	chromatin (Hobert 2012)"
"WBGene00009224	chromatin (Hobert 2012)"
"WBGene00000103	chromatin (Hobert 2012)"
"WBGene00009233	chromatin (Hobert 2012)"
"WBGene00017920	chromatin (Hobert 2012)"
"WBGene00004205	chromatin (Hobert 2012)"
"WBGene00006706	chromatin (Hobert 2012)"
"WBGene00009267	chromatin (Hobert 2012)"
"WBGene00017967	chromatin (Hobert 2012)"
"WBGene00003078	chromatin (Hobert 2012)"
"WBGene00003464	chromatin (Hobert 2012)"
"WBGene00017990	chromatin (Hobert 2012)"
"WBGene00017992	chromatin (Hobert 2012)"
"WBGene00017993	chromatin (Hobert 2012)"
"WBGene00001568	chromatin (Hobert 2012)"
"WBGene00009370	chromatin (Hobert 2012)"
"WBGene00018023	chromatin (Hobert 2012)"
"WBGene00006490	chromatin (Hobert 2012)"
"WBGene00003445	chromatin (Hobert 2012)"
